candidate_profile,analysis
"Role: Data Scientist, Exp: 5 years, Skills: list, near, establish, hour, sister",Score: 77/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 7 years, Skills: do, system, parent, today, reach",Score: 77/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 13 years, Skills: everybody, customer, contain, pressure, turn",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 7 years, Skills: nor, story, only, hear, item",Score: 82/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 6 years, Skills: low, Republican, health, space, hundred",Score: 81/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 2 years, Skills: many, well, left, fine, hotel",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 9 years, Skills: safe, bed, travel, let, side",Score: 71/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 4 years, Skills: even, maintain, agree, suggest, prevent",Score: 85/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 6 years, Skills: child, building, policy, turn, year",Score: 75/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 4 years, Skills: local, because, future, price, daughter",Score: 80/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 0 years, Skills: better, watch, pressure, like, several",Score: 78/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 14 years, Skills: traditional, bill, beat, next, necessary",Score: 99/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 7 years, Skills: wonder, measure, film, dream, option",Score: 88/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: street, event, wind, budget, low",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 13 years, Skills: off, identify, young, hundred, job",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 4 years, Skills: follow, wife, will, become, itself",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 4 years, Skills: paper, identify, area, can, ahead",Score: 78/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 7 years, Skills: herself, image, necessary, meet, fire",Score: 82/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 8 years, Skills: include, cut, decade, sit, international",Score: 71/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 13 years, Skills: sort, admit, mention, move, energy",Score: 99/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 2 years, Skills: this, every, pretty, soon, situation",Score: 70/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 1 years, Skills: Republican, whether, great, lot, international",Score: 66/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 2 years, Skills: every, Mr, court, theory, language",Score: 78/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 1 years, Skills: hotel, anyone, arm, similar, with",Score: 65/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 2 years, Skills: sing, majority, military, ten, service",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 14 years, Skills: water, available, car, water, national",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 1 years, Skills: question, best, others, season, none",Score: 65/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 12 years, Skills: region, stay, enter, nature, who",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 6 years, Skills: note, continue, project, bill, writer",Score: 77/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 3 years, Skills: however, century, exist, standard, bank",Score: 75/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 13 years, Skills: may, have, generation, change, popular",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 13 years, Skills: both, bill, threat, eight, our",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 1 years, Skills: deal, kid, start, once, smile",Score: 69/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 5 years, Skills: order, popular, free, phone, who",Score: 81/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 0 years, Skills: manager, perhaps, world, different, but",Score: 67/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 1 years, Skills: success, sit, kitchen, win, law",Score: 66/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 6 years, Skills: action, relationship, student, box, picture",Score: 82/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 2 years, Skills: understand, wish, product, stand, approach",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 4 years, Skills: easy, study, week, gun, artist",Score: 71/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 12 years, Skills: how, away, your, stay, look",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 7 years, Skills: smile, hand, increase, part, stock",Score: 89/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: public, some, receive, exist, health",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 8 years, Skills: have, score, girl, certain, measure",Score: 78/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 13 years, Skills: trip, bank, back, cut, both",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 0 years, Skills: economy, represent, none, quality, fire",Score: 80/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 8 years, Skills: run, sport, plant, especially, course",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 9 years, Skills: firm, marriage, development, stuff, stand",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 15 years, Skills: deep, customer, treat, exist, worker",Score: 92/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 6 years, Skills: long, leg, citizen, middle, Republican",Score: 87/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: explain, much, two, reason, quality",Score: 97/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 12 years, Skills: over, quality, green, whole, return",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 7 years, Skills: worry, admit, although, six, whole",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 6 years, Skills: spend, example, feeling, ten, do",Score: 84/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 6 years, Skills: nature, cause, set, real, scientist",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
