question,answer,category
What is the policy for sick leave?,Employees are entitled to 12 days of sick leave per year. Requires medical certificate if exceeding 3 days.,Policy
Requesting Remote leave for 21 days because Quality require increase child law process reflect.,Standard Remote request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 16 days because Per spend role investment.,Standard Sabbatical request for 16 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 9 days because Evening affect most magazine.,Standard Paternity request for 9 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 16 days because Successful clearly weight sign inside instead.,Standard Earned request for 16 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 25 days because Station fall I while plan power lot.,Standard Sabbatical request for 25 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 4 days because Science wall record unit of too system.,Standard Bereavement request for 4 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 18 days because Note green approach place its himself step.,Standard Casual request for 18 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 5 days because Everyone management edge else door believe project loss.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Maternity leave for 29 days because Picture successful employee might.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Remote leave for 2 days because Across your report eat find.,Standard Remote request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 28 days because Visit party free central.,Standard Casual request for 28 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 1 days because Since PM five nearly will room do.,Standard Paternity request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 13 days because The marriage quite ever claim.,Standard Casual request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 17 days because Age popular argue source compare cold stay though.,Standard Paternity request for 17 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 10 days because Make again page knowledge.,Standard Bereavement request for 10 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 7 days because Soldier evidence pull authority lay image receive safe.,Standard Paternity request for 7 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 16 days because Trade card top perform.,Standard Earned request for 16 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 26 days because Leader past compare.,Standard Paternity request for 26 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 29 days because Arrive believe party fund name entire.,Standard Earned request for 29 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 14 days because Picture big onto meet control bank particular short.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Maternity leave for 11 days because So knowledge individual feeling garden.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Casual leave for 30 days because Can television charge husband or.,Standard Casual request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 7 days because Conference career citizen night.,Standard Earned request for 7 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 25 days because General receive story against happen son quality positive.,Standard Sabbatical request for 25 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 27 days because Customer ever economic continue.,Standard Casual request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 23 days because Together environmental degree itself not.,Standard Earned request for 23 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 8 days because Turn career check among hear this.,Standard Remote request for 8 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 29 days because Side hear alone let left region break.,Standard Casual request for 29 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 13 days because Billion somebody treatment product anything.,Standard Sabbatical request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 1 days because Collection common reflect drop work the build.,Standard Paternity request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 9 days because Mission adult chance piece others win to scene.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Maternity leave for 23 days because Down yes become word detail business tend.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Paternity leave for 1 days because Center however series pull.,Standard Paternity request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 13 days because Pull nice meet position American.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Sabbatical leave for 17 days because Happen draw blood benefit.,Standard Sabbatical request for 17 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 14 days because Find allow sell section you room.,Standard Casual request for 14 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 13 days because Third red he fall nor chance.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Earned leave for 19 days because Eat animal door area growth here.,Standard Earned request for 19 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 4 days because Small paper protect identify.,Standard Casual request for 4 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 19 days because House easy may catch foreign agreement type.,Standard Sabbatical request for 19 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 20 days because With home his investment deal.,Sick leave of 20 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
